Source:,C:\Users\localuser\OneDrive - University of South Carolina\NMR Research\KiCad (PCBs)\v0.2\NMR_control_board_V4\NMR_control_board_V4.kicad_sch,,,,,
Date:,8/18/2022 14:06,,,,,
Tool:,Eeschema (6.0.1),,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,
Component Count:,23,,,,,
,,,,,,
Individual Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,5V1,Conn_Coaxial,Connector:Conn_Coaxial,Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount, ~
,,-5V1,Conn_Coaxial,Connector:Conn_Coaxial,Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount, ~
,,C1,C,Device:C,Capacitor_SMD:C_1206_3216Metric,~
,,C2,1 uF,pspice:C,Capacitor_SMD:C_1206_3216Metric,~
,,C3,C,Device:C,Capacitor_SMD:C_1206_3216Metric,~
,,C4,1 uF,pspice:C,Capacitor_SMD:C_1206_3216Metric,~
,,C5,0.1 uF,pspice:C,Capacitor_SMD:C_1206_3216Metric,~
,,C6,0.1uF,Device:C,Capacitor_SMD:C_1206_3216Metric,~
,,C7,0.1uF,Device:C,Capacitor_SMD:C_1206_3216Metric,~
,,F_OUT1,Conn_Coaxial,Connector:Conn_Coaxial,Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount, ~
,,MIX_RF1,Conn_Coaxial,Connector:Conn_Coaxial,Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount, ~
,,R1,R,Device:R,Resistor_SMD:R_1206_3216Metric,~
,,R2,R,Device:R,Resistor_SMD:R_1206_3216Metric,~
,,R3,R,Device:R,Resistor_SMD:R_1206_3216Metric,~
,,R4,R,Device:R,Resistor_SMD:R_1206_3216Metric,~
,,SPL_IN1,Conn_Coaxial,Connector:Conn_Coaxial,Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount, ~
,,SW_CTRL1,Conn_Coaxial,Connector:Conn_Coaxial,Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount, ~
,,SW_OUT1,Conn_Coaxial,Connector:Conn_Coaxial,Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount, ~
,,U1,LM4565,LM4565 Operational Amplifier:LM4565,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,
,,U2,NCP715-1.8V,NCP715:NCP715-1.8V,Package_TO_SOT_SMD:SOT-353_SC-70-5,
,,U3,ADP-2-1W,RF:ADP-2-1W,RF_Mini-Circuits:Mini-Circuits_CD636_LandPatternPL-035,https://www.minicircuits.com/pdfs/ADP-2-1W.pdf
,,U4,ADG901BRMZ,RF_Switch:ADG901BRMZ,Package_SO:MSOP-8_3x3mm_P0.65mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ADG901_902.pdf
,,U5,ADE-6,RF_Mixer:ADE-6,RF_Mini-Circuits:Mini-Circuits_CD542_LandPatternPL-052,https://www.minicircuits.com/pdfs/ADE-6.pdf
,,,,,,
,,,,,,
,,,,,,
Collated Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,7,"5V1, -5V1, F_OUT1, MIX_RF1, SPL_IN1, SW_CTRL1, SW_OUT1",Conn_Coaxial,Connector:Conn_Coaxial,Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount, ~
2,2,"C1, C3",C,Device:C,Capacitor_SMD:C_1206_3216Metric,~
3,2,"C2, C4",1 uF,pspice:C,Capacitor_SMD:C_1206_3216Metric,~
4,1,C5,0.1 uF,pspice:C,Capacitor_SMD:C_1206_3216Metric,~
5,2,"C6, C7",0.1uF,Device:C,Capacitor_SMD:C_1206_3216Metric,~
6,4,"R1, R2, R3, R4",R,Device:R,Resistor_SMD:R_1206_3216Metric,~
7,1,U1,LM4565,LM4565 Operational Amplifier:LM4565,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,
8,1,U2,NCP715-1.8V,NCP715:NCP715-1.8V,Package_TO_SOT_SMD:SOT-353_SC-70-5,
9,1,U3,ADP-2-1W,RF:ADP-2-1W,RF_Mini-Circuits:Mini-Circuits_CD636_LandPatternPL-035,https://www.minicircuits.com/pdfs/ADP-2-1W.pdf
10,1,U4,ADG901BRMZ,RF_Switch:ADG901BRMZ,Package_SO:MSOP-8_3x3mm_P0.65mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ADG901_902.pdf
11,1,U5,ADE-6,RF_Mixer:ADE-6,RF_Mini-Circuits:Mini-Circuits_CD542_LandPatternPL-052,https://www.minicircuits.com/pdfs/ADE-6.pdf
